Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.00912E+12,460470.0,452930.0,-1.079665,53.968916,12,Severe,2,1,08/05/2009,6,50:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013343
2.00912E+12,462630.0,458610.0,-1.045575,54.019703,12,Severe,1,1,08/05/2009,6,10:00.0,189,E06000014,6,0,6,60,3,4,6,0,0,0,1,2,2,0,0,2,1,E01013436
2.00912E+12,457880.0,449490.0,-1.119794,53.938297,12,Severe,2,2,10/05/2009,1,00:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01013353
2.00912E+12,462180.0,454900.0,-1.053199,53.986417,12,Severe,2,1,10/05/2009,1,41:00.0,189,E06000014,6,0,6,30,8,4,-1,-1,0,0,1,1,1,0,0,1,1,E01013411
2.00912E+12,464090.0,446200.0,-1.025899,53.908001,12,Medium,2,2,12/05/2009,3,41:00.0,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013450
2.00912E+12,459640.0,451330.0,-1.092628,53.954633,12,Severe,1,1,13/05/2009,4,50:00.0,189,E06000014,3,1036,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013416
2.00912E+12,460030.0,451640.0,-1.086625,53.957374,12,Severe,1,1,13/05/2009,4,50:00.0,189,E06000014,4,1227,6,30,3,2,6,0,0,4,4,1,1,0,0,1,1,E01013415
2.00912E+12,458950.0,451260.0,-1.103155,53.954083,12,Severe,1,1,14/05/2009,5,20:00.0,189,E06000014,3,59,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013397
2.00912E+12,456830.0,451010.0,-1.135504,53.952073,12,Severe,2,1,14/05/2009,5,45:00.0,189,E06000014,6,0,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01013442
2.00912E+12,459150.0,450650.0,-1.100226,53.948579,12,Severe,1,1,15/05/2009,6,00:00.0,189,E06000014,3,1036,6,30,7,4,6,0,0,0,1,2,2,0,0,1,1,E01013358
